,Wavelength (nm)
1829,614.717
1830,614.948
1831,615.179
1832,615.411
1833,615.642
1834,615.873
1835,616.104
1836,616.336
1837,616.567
1838,616.798
1839,617.029
1840,617.26
1841,617.491
1842,617.722
1843,617.953
1844,618.184
1845,618.415
1846,618.646
1847,618.877
1848,619.108
1849,619.339
1850,619.57
1851,619.801
1852,620.032
1853,620.262
1854,620.493
1855,620.724
1856,620.955
1857,621.185
1858,621.416
1859,621.647
1860,621.877
1861,622.108
1862,622.338
1863,622.569
1864,622.8
1865,623.03
1866,623.261
1867,623.491
1868,623.722
1869,623.952
1870,624.182
1871,624.413
1872,624.643
1873,624.874
1874,625.104
1875,625.334
1876,625.564
1877,625.795
1878,626.025
1879,626.255
1880,626.485
1881,626.715
1882,626.946
1883,627.176
1884,627.406
1885,627.636
1886,627.866
1887,628.096
1888,628.326
1889,628.556
1890,628.786
1891,629.016
1892,629.246
1893,629.475
1894,629.705
1895,629.935
1896,630.165
1897,630.395
1898,630.625
1899,630.854
1900,631.084
1901,631.314
1902,631.543
1903,631.773
1904,632.003
1905,632.232
1906,632.462
1907,632.691
1908,632.921
1909,633.15
1910,633.38
1911,633.609
1912,633.839
1913,634.068
1914,634.298
1915,634.527
1916,634.756
1917,634.986
1918,635.215
1919,635.444
1920,635.673
1921,635.903
1922,636.132
1923,636.361
1924,636.59
1925,636.819
1926,637.048
1927,637.277
1928,637.506
1929,637.735
1930,637.964
1931,638.193
1932,638.422
1933,638.651
1934,638.88
1935,639.109
1936,639.338
1937,639.567
1938,639.796
1939,640.025
1940,640.253
1941,640.482
1942,640.711
1943,640.939
1944,641.168
1945,641.397
1946,641.625
1947,641.854
1948,642.083
1949,642.311
1950,642.54
1951,642.768
1952,642.997
1953,643.225
1954,643.454
1955,643.682
1956,643.91
1957,644.139
1958,644.367
1959,644.595
1960,644.824
1961,645.052
1962,645.28
1963,645.509
1964,645.737
1965,645.965
1966,646.193
1967,646.421
1968,646.649
1969,646.877
1970,647.105
1971,647.333
1972,647.561
1973,647.789
1974,648.017
1975,648.245
1976,648.473
1977,648.701
1978,648.929
1979,649.157
1980,649.385
1981,649.612
1982,649.84
1983,650.068
1984,650.296
1985,650.523
1986,650.751
1987,650.979
1988,651.206
1989,651.434
1990,651.662
1991,651.889
1992,652.117
1993,652.344
1994,652.572
1995,652.799
1996,653.026
1997,653.254
1998,653.481
1999,653.709
2000,653.936
2001,654.163
2002,654.391
2003,654.618
2004,654.845
2005,655.072
2006,655.299
2007,655.527
2008,655.754
2009,655.981
2010,656.208
2011,656.435
2012,656.662
2013,656.889
2014,657.116
2015,657.343
2016,657.57
2017,657.797
2018,658.024
2019,658.251
2020,658.478
2021,658.704
2022,658.931
2023,659.158
2024,659.385
2025,659.611
2026,659.838
2027,660.065
2028,660.291
2029,660.518
2030,660.745
2031,660.971
2032,661.198
2033,661.424
2034,661.651
2035,661.877
2036,662.104
2037,662.33
2038,662.557
2039,662.783
2040,663.009
2041,663.236
2042,663.462
2043,663.688
2044,663.915
2045,664.141
2046,664.367
2047,664.593
2048,664.819
2049,665.045
2050,665.272
2051,665.498
2052,665.724
2053,665.95
2054,666.176
2055,666.402
2056,666.628
2057,666.854
2058,667.08
2059,667.305
2060,667.531
2061,667.757
2062,667.983
2063,668.209
2064,668.435
2065,668.66
2066,668.886
2067,669.112
2068,669.337
2069,669.563
2070,669.789
2071,670.014
2072,670.24
2073,670.465
2074,670.691
2075,670.916
2076,671.142
2077,671.367
2078,671.593
2079,671.818
2080,672.043
2081,672.269
2082,672.494
2083,672.719
2084,672.945
2085,673.17
2086,673.395
2087,673.62
2088,673.845
2089,674.071
2090,674.296
2091,674.521
2092,674.746
2093,674.971
2094,675.196
2095,675.421
2096,675.646
2097,675.871
2098,676.096
2099,676.321
2100,676.545
2101,676.77
2102,676.995
2103,677.22
2104,677.445
2105,677.669
2106,677.894
2107,678.119
2108,678.343
2109,678.568
2110,678.793
2111,679.017
2112,679.242
2113,679.466
2114,679.691
2115,679.915
2116,680.14
2117,680.364
2118,680.589
2119,680.813
2120,681.037
2121,681.262
2122,681.486
2123,681.71
2124,681.935
2125,682.159
2126,682.383
2127,682.607
2128,682.831
2129,683.056
2130,683.28
2131,683.504
2132,683.728
2133,683.952
